"Date","Open","High","Low","Close","VWAP","Volume","% Chg","$ Chg","Trade Val","# Trades"
"2025-05-20","589.71","590.66","586.24","589.47","589.00","60,614,492","-0.34%","-1.9886","17,471,226,719","632,009"
"2025-05-19","584.75","592.14","584.75","591.46","589.85","68,168,509","0.11%","0.646292","40,436,241,117","662,368"
"2025-05-16","587.88","591.11","585.92","590.81","589.06","76,052,101","0.63%","3.7187","45,054,578,961","645,321"
"2025-05-15","582.22","587.60","581.76","587.09","213.00","71,268,145","0.49%","2.8536","41,952,140,859","737,366"
"2025-05-14","584.46","585.62","582.19","584.24","584.03","66,283,531","0.13%","0.745723","38,933,885,958","676,305"
"2025-05-13","580.08","585.72","579.52","583.49","583.81","67,947,225","0.66%","3.828","2,985,526,113","682,791"
"2025-05-12","578.15","579.67","573.75","579.66","576.92","78,993,570","3.31%","18.54","8,901,919,693","733,763"
"2025-05-09","563.25","564.26","559.55","561.12","561.51","37,603,427","-0.13%","-0.715893","21,238,917,095","422,439"
"2025-05-08","562.02","567.06","558.50","561.84","563.27","65,130,787","0.70%","3.8877","18,431,747,821","601,136"
"2025-05-07","556.95","560.60","552.87","557.95","556.89","55,733,229","0.42%","2.3366","31,222,808,519","531,078"
"2025-05-06","554.75","560.13","553.78","555.61","556.77","48,264,708","-0.84%","-4.6831","27,030,928,614","473,583"
"2025-05-05","559.36","563.42","558.50","560.30","561.13","38,659,222","-0.57%","-3.2315","21,794,205,912","414,705"
"2025-05-02","561.51","565.14","559.17","563.53","563.23","60,717,270","1.48%","8.24","34,359,987,061","571,464"
"2025-05-01","557.17","560.85","554.68","555.28","557.57","63,186,146","0.71%","3.9076","35,387,914,140","585,851"
"2025-04-30","544.45","553.35","538.43","551.38","547.17","93,101,463","0.04%","0.218745","51,299,614,483","707,075"
"2025-04-29","545.78","552.28","545.42","551.16","549.93","47,775,121","0.63%","3.4502","7,965,816,215","474,826"
"2025-04-28","548.24","550.39","541.91","547.71","546.52","47,613,755","0.04%","0.208802","26,173,978,785","472,014"
"2025-04-25","543.53","547.91","540.59","547.50","545.35","61,119,590","0.72%","3.9275","33,513,790,286","562,220"
"2025-04-24","533.65","544.31","532.40","543.57","540.93","64,150,418","2.11%","11.21","16,412,521,758","580,931"
"2025-04-23","537.35","542.32","530.83","532.37","535.92","90,590,658","1.55%","8.12","48,785,346,594","885,525"
"2025-04-22","517.17","526.29","516.23","524.24","522.66","75,948,117","2.60%","13.29","39,876,374,485","712,404"
"2025-04-21","518.19","518.72","505.56","510.95","510.01","69,368,129","-2.38%","-12.46","35,654,535,053","715,707"
"2025-04-17","524.63","528.13","520.92","523.41","524.67","79,868,083","0.14%","0.745722","42,111,241,539","633,814"
"2025-04-16","528.65","534.82","517.32","522.66","524.24","83,484,814","-2.22%","-11.88","25,628,455,769","770,795"
"2025-04-15","536.60","540.13","533.75","534.54","536.24","56,892,874","-0.28%","-1.5014","30,678,936,172","547,014"
"2025-04-14","540.95","541.18","530.81","536.04","536.55","68,033,993","0.97%","5.15","18,261,578,917","752,545"
"2025-04-11","520.03","533.37","517.10","530.89","526.70","97,866,334","1.78%","9.31","33,365,011,514","1,019,100"
"2025-04-10","529.13","530.45","506.41","521.59","200.75","162,331,225","-4.38%","-23.90","66,685,940,158","1,754,748"
"2025-04-09","490.63","545.49","490.24","545.49","521.46","241,867,317","10.50%","51.84","33,976,665,455","2,299,173"
"2025-04-08","518.88","521.99","486.37","493.65","503.89","165,816,581","-1.57%","-7.85","84,081,724,743","1,708,663"
"2025-04-07","486.40","520.19","479.05","501.50","498.58","256,611,355","-0.18%","-0.894866","128,606,467,411","2,517,686"
"2025-04-04","520.68","522.87","502.18","502.40","510.04","217,965,131","-5.85%","-31.24","20,010,079,740","1,957,374"
"2025-04-03","542.00","544.84","533.64","533.64","320.40","125,985,998","-4.93%","-27.66","31,546,811,778","1,198,680"
"2025-04-02","551.88","564.18","551.65","561.30","557.44","76,014,544","0.63%","3.5297","42,636,661,966","686,521"
"2025-04-01","554.27","559.73","550.52","557.77","555.87","54,609,641","0.28%","1.571","12,085,012,568","603,786"
"2025-03-31","546.69","557.51","543.75","556.20","552.51","95,328,213","0.67%","3.7087","52,992,266,175","754,579"
"2025-03-28","562.30","563.04","551.90","552.49","554.66","71,662,653","-2.01%","-11.35","21,558,823,792","650,374"
"2025-03-27","563.94","567.64","561.72","563.85","564.86","42,164,248","-0.27%","-1.5014","23,971,151,674","456,682"
"2025-03-26","571.91","573.04","563.95","565.35","567.06","52,228,898","-1.19%","-6.83","29,795,692,372","501,033"
"2025-03-25","572.02","573.12","570.42","572.18","571.71","38,355,735","0.24%","1.3721","3,606,034,224","389,953"
"2025-03-24","567.54","571.87","566.95","570.81","570.10","58,766,795","1.79%","10.04","33,673,317,375","506,247"
