Date,Open,High,Low,Close,VWAP,Volume,Return,$ Chg,Trade Val,# Trades,
2019-05-29,--,--,--,17.51,--,--,-0.85%,-0.150228,--,--,
2019-05-28,--,--,--,17.66,--,--,-0.32%,-0.056335,--,--,
2019-05-27,--,--,--,17.72,--,--,0.00%,--,--,--,
2019-05-24,--,--,--,17.72,--,--,-0.11%,-0.018779,--,--,
2019-05-23,--,--,--,17.74,--,--,-1.51%,-0.272288,--,--,
2019-05-22,--,--,--,18.01,--,--,-0.42%,-0.075113,--,--,
2019-05-21,--,--,--,18.08,--,--,-0.72%,-0.13145,--,--,
2019-05-17,--,--,--,18.22,--,--,-1.02%,-0.187784,--,--,
2019-05-16,--,--,--,18.4,--,--,1.03%,0.187784,--,--,
2019-05-15,--,--,--,18.22,--,--,1.41%,0.253509,--,--,
2019-05-14,--,--,--,17.96,--,--,1.06%,0.187785,--,--,
2019-05-13,--,--,--,17.77,--,--,-3.47%,-0.638468,--,--,
2019-05-10,--,--,--,18.41,--,--,0.10%,0.018779,--,--,
2019-05-09,--,--,--,18.39,--,--,-0.51%,-0.093893,--,--,
2019-05-08,--,--,--,18.49,--,--,-0.25%,-0.046946,--,--,
2019-05-07,--,--,--,18.53,--,--,-1.99%,-0.375568,--,--,
2019-05-06,--,--,--,18.91,--,--,-0.64%,-0.122061,--,--,
2019-05-03,--,--,--,19.03,--,--,1.55%,0.291066,--,--,
2019-05-02,--,--,--,18.74,--,--,-0.35%,-0.065724,--,--,
2019-05-01,--,--,--,18.81,--,--,-0.40%,-0.075115,--,--,
2019-04-30,--,--,--,18.88,--,--,-0.69%,-0.131449,--,--,
2019-04-29,--,--,--,19.01,--,--,0.10%,0.018778,--,--,
2019-04-26,--,--,--,18.99,--,--,0.15%,0.028169,--,--,
2019-04-25,--,--,--,18.97,--,--,0.40%,0.075113,--,--,
2019-04-24,--,--,--,18.89,--,--,-0.35%,-0.065724,--,--,
2019-04-23,--,--,--,18.96,--,--,1.31%,0.24412,--,--,
2019-04-22,--,--,--,18.71,--,--,0.30%,0.056335,--,--,
2019-04-18,--,--,--,18.66,--,--,0.10%,0.018778,--,--,
2019-04-17,--,--,--,18.64,--,--,0.35%,0.065725,--,--,
2019-04-16,--,--,--,18.57,--,--,0.30%,0.056336,--,--,
2019-04-15,--,--,--,18.52,--,--,0.05%,0.009389,--,--,
2019-04-12,--,--,--,18.51,--,--,0.41%,0.075114,--,--,
2019-04-11,--,--,--,18.43,--,--,-0.20%,-0.037557,--,--,
2019-04-10,--,--,--,18.47,--,--,0.56%,0.103281,--,--,
2019-04-09,--,--,--,18.37,--,--,-0.41%,-0.075113,--,--,
2019-04-08,--,--,--,18.44,--,--,0.20%,0.037557,--,--,
2019-04-05,--,--,--,18.4,--,--,0.51%,0.093891,--,--,
2019-04-04,--,--,--,18.31,--,--,-0.05%,-0.009388,--,--,
2019-04-03,--,--,--,18.32,--,--,0.62%,0.112671,--,--,
2019-04-02,--,--,--,18.21,--,--,0.31%,0.056335,--,--,
2019-04-01,--,--,--,18.15,--,--,1.36%,0.244119,--,--,
2019-03-29,--,--,--,17.91,--,--,0.74%,0.13145,--,--,
2019-03-28,--,--,--,17.77,--,--,0.21%,0.037557,--,--,
2019-03-27,--,--,--,17.74,--,--,-0.63%,-0.11267,--,--,
2019-03-26,--,--,--,17.85,--,--,0.48%,0.084503,--,--,
2019-03-25,--,--,--,17.76,--,--,-0.16%,-0.028168,--,--,
2019-03-22,--,--,--,17.79,--,--,-2.22%,-0.403738,--,--,
2019-03-21,--,--,--,18.2,--,--,1.57%,0.281678,--,--,
2019-03-20,--,--,--,17.91,--,--,0.42%,0.075113,--,--,
2019-03-19,--,--,--,17.84,--,--,0.26%,0.046947,--,--,
2019-03-18,--,--,--,17.79,--,--,0.27%,0.046946,--,--,
2019-03-15,--,--,--,17.75,--,--,0.91%,0.159617,--,--,
2019-03-14,--,--,--,17.59,--,--,-0.16%,-0.028168,--,--,
2019-03-13,--,--,--,17.61,--,--,0.75%,0.131449,--,--,
2019-03-12,--,--,--,17.48,--,--,0.49%,0.084504,--,--,
2019-03-11,--,--,--,17.4,--,--,2.09%,0.356791,--,--,
2019-03-08,--,--,--,17.04,--,--,-0.17%,-0.028169,--,--,
2019-03-07,--,--,--,17.07,--,--,-1.14%,-0.197174,--,--,
2019-03-06,--,--,--,17.27,--,--,-0.65%,-0.112671,--,--,
2019-03-05,--,--,--,17.38,--,--,0.05%,0.00939,--,--,
2019-03-04,--,--,--,17.37,--,--,0.00%,--,--,--,
2019-03-01,--,--,--,17.37,--,--,0.76%,0.131449,--,--,
2019-02-28,--,--,--,17.24,--,--,-0.27%,-0.046946,--,--,
2019-02-27,--,--,--,17.29,--,--,-0.05%,-0.009389,--,--,
2019-02-26,--,--,--,17.3,--,--,0.05%,0.009389,--,--,
2019-02-25,--,--,--,17.29,--,--,0.38%,0.065725,--,--,
2019-02-22,--,--,--,17.22,--,--,0.77%,0.131449,--,--,
2019-02-21,--,--,--,17.09,--,--,-0.38%,-0.065724,--,--,
2019-02-20,--,--,--,17.15,--,--,-0.06%,-0.009389,--,--,
2019-02-19,--,--,--,17.16,--,--,0.16%,0.028166,--,--,
2019-02-15,--,--,--,17.14,--,--,0.50%,0.084504,--,--,
2019-02-14,--,--,--,17.05,--,--,0.11%,0.018779,--,--,
2019-02-13,--,--,--,17.03,--,--,0.00%,--,--,--,
2019-02-12,--,--,--,17.03,--,--,1.51%,0.253509,--,--,
2019-02-11,--,--,--,16.78,--,--,-0.06%,-0.00939,--,--,
2019-02-08,--,--,--,16.79,--,--,0.11%,0.018779,--,--,
2019-02-07,--,--,--,16.77,--,--,-1.33%,-0.225341,--,--,
2019-02-06,--,--,--,16.99,--,--,-0.33%,-0.056336,--,--,
